HVR,occurences,percent,avg_size,min_size,max_size
V1,66468,22.19,74.75,26,266
V2,161266,53.85,222.32,147,501
V3,225409,75.26,150.67,100,579
V4,248665,83.03,255.11,83,524
V5,225027,75.13,109.82,23,541
V6,234469,78.29,174.72,112,1005
V7,258108,86.18,71.61,51,784
V8,210019,70.12,192.65,143,587
V9,48274,16.12,85.39,27,264
V12,95466,31.88,313.1,228,516
V23,148486,49.58,390.1,302,807
V34,236515,78.97,419.64,307,1058
V45,229587,76.66,374.97,202,806
V56,247174,82.53,300.46,215,1124
V67,232084,77.49,260.29,184,1169
V78,214386,71.58,278.31,228,990
V89,44324,14.8,294.2,139,1152
